Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"SHEN","SHENANDOAH TELECOMMUNICATIONS","Aktien","0,24","51,14","65.377","3.343.380","3.343.379,78","Kommunikation","US82312B1061","NASDAQ","Vereinigte Staaten","USD"
"RPAI","RETAIL PROPERTIES OF AMERICA REIT","Aktien","0,24","11,83","282.324","3.339.893","3.339.892,92","Immobilien","US76131V2025","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MOGA","MOOG INC CLASS A","Aktien","0,24","85,09","39.169","3.332.890","3.332.890,21","Industrie","US6153942023","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"XPER","XPERI HOLDING CORP","Aktien","0,24","23,93","139.087","3.328.352","3.328.351,91","IT","US98390M1036","NASDAQ","Vereinigte Staaten","USD"
"JJSF","J AND J SNACK FOODS CORP","Aktien","0,24","165,28","19.918","3.292.047","3.292.047,04","Nichtzyklische Konsumgüter","US4660321096","NASDAQ","Vereinigte Staaten","USD"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","Aktien","0,23","23,73","138.595","3.288.859","3.288.859,35","Immobilien","US29670E1073","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HTH","HILLTOP HOLDINGS INC","Aktien","0,23","38,61","84.917","3.278.645","3.278.645,37","Financials","US4327481010","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MLI","MUELLER INDUSTRIES INC","Aktien","0,23","43,98","73.795","3.245.504","3.245.504,10","Industrie","US6247561029","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BCC","BOISE CASCADE","Aktien","0,23","61,93","52.276","3.237.453","3.237.452,68","Industrie","US09739D1000","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MDRX","ALLSCRIPTS HEALTHCARE SOLUTIONS IN","Aktien","0,23","15,55","208.119","3.236.250","3.236.250,45","Gesundheitsversorgung","US01988P1084","NASDAQ","Vereinigte Staaten","USD"
"MXL","MAXLINEAR INC","Aktien","0,23","36,61","88.132","3.226.513","3.226.512,52","IT","US57776J1007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FFBC","FIRST FINANCIAL BANCORP","Aktien","0,23","25,49","126.517","3.224.918","3.224.918,33","Financials","US3202091092","NASDAQ","Vereinigte Staaten","USD"
"BDN","BRANDYWINE REALTY TRUST REIT","Aktien","0,23","13,57","234.362","3.180.292","3.180.292,34","Immobilien","US1053682035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MD","MEDNAX INC","Aktien","0,23","28,05","112.815","3.164.461","3.164.460,75","Gesundheitsversorgung","US58502B1061","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CAKE","CHEESECAKE FACTORY INC","Aktien","0,22","57,64","54.540","3.143.686","3.143.685,60","Zyklische Konsumgüter ","US1630721017","NASDAQ","Vereinigte Staaten","USD"
"SBH","SALLY BEAUTY HOLDINGS INC","Aktien","0,22","21,10","148.114","3.125.205","3.125.205,40","Zyklische Konsumgüter ","US79546E1047","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BIG","BIG LOTS INC","Aktien","0,22","66,54","46.873","3.118.929","3.118.929,42","Zyklische Konsumgüter ","US0893021032","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KTB","KONTOOR BRANDS INC","Aktien","0,22","51,25","60.749","3.113.386","3.113.386,25","Zyklische Konsumgüter ","US50050N1037","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FSS","FEDERAL SIGNAL CORP","Aktien","0,22","38,80","79.748","3.094.222","3.094.222,40","Industrie","US3138551086","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MYGN","MYRIAD GENETICS INC","Aktien","0,22","31,07","99.462","3.090.284","3.090.284,34","Gesundheitsversorgung","US62855J1043","NASDAQ","Vereinigte Staaten","USD"
"PBH","PRESTIGE CONSUMER HEALTHCARE INC","Aktien","0,22","45,86","67.366","3.089.405","3.089.404,76","Gesundheitsversorgung","US74112D1019","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FBC","FLAGSTAR BANCORP INC","Aktien","0,22","50,48","61.062","3.082.410","3.082.409,76","Financials","US3379307057","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PSMT","PRICESMART INC","Aktien","0,22","99,64","30.688","3.057.752","3.057.752,32","Nichtzyklische Konsumgüter","US7415111092","NASDAQ","Vereinigte Staaten","USD"
"SITC","SITE CENTERS CORP","Aktien","0,22","13,92","219.487","3.055.259","3.055.259,04","Immobilien","US82981J1097","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MTOR","MERITOR INC","Aktien","0,22","32,06","95.211","3.052.465","3.052.464,66","Industrie","US59001K1007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CRS","CARPENTER TECHNOLOGY CORP","Aktien","0,22","47,54","64.117","3.048.122","3.048.122,18","Materialien","US1442851036","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CTRE","CARETRUST REIT INC","Aktien","0,22","23,10","130.667","3.018.408","3.018.407,70","Immobilien","US14174T1079","NASDAQ","Vereinigte Staaten","USD"
"RMBS","RAMBUS INC","Aktien","0,22","20,20","149.121","3.012.244","3.012.244,20","IT","US7509171069","NASDAQ","Vereinigte Staaten","USD"
"EGOV","NIC INC","Aktien","0,21","33,99","88.427","3.005.634","3.005.633,73","IT","US62914B1008","NASDAQ","Vereinigte Staaten","USD"
"XHR","XENIA HOTELS RESORTS REIT INC","Aktien","0,21","20,53","146.104","2.999.515","2.999.515,12","Immobilien","US9840171030","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MNRO","MONRO INC","Aktien","0,21","67,81","44.052","2.987.166","2.987.166,12","Zyklische Konsumgüter ","US6102361010","NASDAQ","Vereinigte Staaten","USD"
"EVTC","EVERTEC INC","Aktien","0,21","37,42","78.668","2.943.757","2.943.756,56","IT","PR30040P1032","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MGLN","MAGELLAN HEALTH INC","Aktien","0,21","93,35","31.525","2.942.859","2.942.858,75","Gesundheitsversorgung","US5590792074","NASDAQ","Vereinigte Staaten","USD"
"AMCX","AMC NETWORKS CLASS A INC","Aktien","0,21","73,60","39.970","2.941.792","2.941.792,00","Kommunikation","US00164V1035","NASDAQ","Vereinigte Staaten","USD"
"UNFI","UNITED NATURAL FOODS INC","Aktien","0,21","39,24","74.955","2.941.234","2.941.234,20","Nichtzyklische Konsumgüter","US9111631035","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CUB","CUBIC CORP","Aktien","0,21","70,00","41.355","2.894.850","2.894.850,00","Industrie","US2296691064","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HUBG","HUB GROUP INC CLASS A","Aktien","0,21","66,14","43.650","2.887.011","2.887.011,00","Industrie","US4433201062","NASDAQ","Vereinigte Staaten","USD"
"PLAY","DAVE AND BUSTERS ENTERTAINMENT INC","Aktien","0,21","45,62","63.173","2.881.952","2.881.952,26","Zyklische Konsumgüter ","US2383371091","NASDAQ","Vereinigte Staaten","USD"
"DRH","DIAMONDROCK HOSPITALITY REIT","Aktien","0,21","10,65","270.602","2.881.911","2.881.911,30","Immobilien","US2527843013","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Aktien","0,20","81,10","35.393","2.870.372","2.870.372,30","Industrie","US5645631046","NASDAQ","Vereinigte Staaten","USD"
"BLMN","BLOOMIN BRANDS INC","Aktien","0,20","27,00","104.406","2.818.962","2.818.962,00","Zyklische Konsumgüter ","US0942351083","NASDAQ","Vereinigte Staaten","USD"
"SBCF","SEACOAST BANKING OF FLORIDA","Aktien","0,20","39,53","71.210","2.814.931","2.814.931,30","Financials","US8117078019","NASDAQ","Vereinigte Staaten","USD"
"VICR","VICOR CORP","Aktien","0,20","99,90","28.088","2.805.991","2.805.991,20","Industrie","US9258151029","NASDAQ","Vereinigte Staaten","USD"
"ROIC","RETAIL OPPORTUNITY INVESTMENTS REI","Aktien","0,20","16,74","165.014","2.762.334","2.762.334,36","Immobilien","US76131N1019","NASDAQ","Vereinigte Staaten","USD"
"ANF","ABERCROMBIE AND FITCH CLASS A","Aktien","0,20","33,10","83.138","2.751.868","2.751.867,80","Zyklische Konsumgüter ","US0028962076","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LZB","LA-Z-BOY INC","Aktien","0,20","44,31","61.758","2.736.497","2.736.496,98","Zyklische Konsumgüter ","US5053361078","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UCTT","ULTRA CLEAN HOLDINGS INC","Aktien","0,20","50,85","53.776","2.734.510","2.734.509,60","IT","US90385V1070","NASDAQ","Vereinigte Staaten","USD"
"BGS","B AND G FOODS INC","Aktien","0,19","32,10","85.032","2.729.527","2.729.527,20","Nichtzyklische Konsumgüter","US05508R1068","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ODP","ODP CORP","Aktien","0,19","39,46","68.913","2.719.307","2.719.306,98","Zyklische Konsumgüter ","US88337F1057","NASDAQ","Vereinigte Staaten","USD"
"FCPT","FOUR CORNERS PROPERTY INC TRUST","Aktien","0,19","27,80","97.344","2.706.163","2.706.163,20","Immobilien","US35086T1097","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HOPE","HOPE BANCORP INC","Aktien","0,19","15,56","173.793","2.704.219","2.704.219,08","Financials","US43940T1097","NASDAQ","Vereinigte Staaten","USD"
"PRGS","PROGRESS SOFTWARE CORP","Aktien","0,19","45,54","59.375","2.703.938","2.703.937,50","IT","US7433121008","NASDAQ","Vereinigte Staaten","USD"
"WRE","WASHINGTON REAL ESTATE INVESTMENT","Aktien","0,19","23,94","112.447","2.691.981","2.691.981,18","Immobilien","US9396531017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NMIH","NMI HOLDINGS INC CLASS A","Aktien","0,19","24,64","108.961","2.684.799","2.684.799,04","Financials","US6292093050","NASDAQ","Vereinigte Staaten","USD"
"CPK","CHESAPEAKE UTILITIES CORP","Aktien","0,19","118,34","22.611","2.675.786","2.675.785,74","Versorger","US1653031088","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TTGT","TECHTARGET INC","Aktien","0,19","84,27","31.723","2.673.297","2.673.297,21","Kommunikation","US87874R1005","NASDAQ","Vereinigte Staaten","USD"
"SSTK","SHUTTERSTOCK INC","Aktien","0,19","92,03","28.911","2.660.679","2.660.679,33","Zyklische Konsumgüter ","US8256901005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PATK","PATRICK INDUSTRIES INC","Aktien","0,19","90,32","29.121","2.630.209","2.630.208,72","Zyklische Konsumgüter ","US7033431039","NASDAQ","Vereinigte Staaten","USD"
"PRFT","PERFICIENT INC","Aktien","0,19","60,52","43.408","2.627.052","2.627.052,16","IT","US71375U1016","NASDAQ","Vereinigte Staaten","USD"
"KALU","KAISER ALUMINIUM CORP","Aktien","0,19","125,02","21.001","2.625.545","2.625.545,02","Materialien","US4830077040","NASDAQ","Vereinigte Staaten","USD"
"RLGY","REALOGY HOLDINGS CORP","Aktien","0,19","16,72","156.714","2.620.258","2.620.258,08","Immobilien","US75605Y1064","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BANR","BANNER CORP","Aktien","0,19","57,60","45.378","2.613.773","2.613.772,80","Financials","US06652V2088","NASDAQ","Vereinigte Staaten","USD"
"WSFS","WSFS FINANCIAL CORP","Aktien","0,19","52,19","50.000","2.609.500","2.609.500,00","Financials","US9293281021","NASDAQ","Vereinigte Staaten","USD"
"COHU","COHU INC","Aktien","0,19","41,99","61.884","2.598.509","2.598.509,16","IT","US1925761066","NASDAQ","Vereinigte Staaten","USD"
"EPAY","BOTTOMLINE TECHNOLOGIES INC","Aktien","0,18","48,69","52.865","2.573.997","2.573.996,85","IT","US1013881065","NASDAQ","Vereinigte Staaten","USD"
"PRK","PARK NATIONAL CORP","Aktien","0,18","138,93","18.417","2.558.674","2.558.673,81","Financials","US7006581075","Nyse Mkt Llc","Vereinigte Staaten","USD"
"NBTB","NBT BANCORP INC","Aktien","0,18","41,57","61.494","2.556.306","2.556.305,58","Financials","US6287781024","NASDAQ","Vereinigte Staaten","USD"
"CVCO","CAVCO INDUSTRIES INC","Aktien","0,18","224,70","11.367","2.554.165","2.554.164,90","Zyklische Konsumgüter ","US1495681074","NASDAQ","Vereinigte Staaten","USD"
"NPO","ENPRO INDUSTRIES INC","Aktien","0,18","93,61","27.204","2.546.566","2.546.566,44","Industrie","US29355X1072","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KN","KNOWLES CORP","Aktien","0,18","21,14","119.824","2.533.079","2.533.079,36","IT","US49926D1090","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GWB","GREAT WESTERN BANCORP INC","Aktien","0,18","32,69","77.382","2.529.618","2.529.617,58","Financials","US3914161043","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VGR","VECTOR GROUP LTD","Aktien","0,18","15,15","166.892","2.528.414","2.528.413,80","Nichtzyklische Konsumgüter","US92240M1080","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NWBI","NORTHWEST BANCSHARES INC","Aktien","0,18","15,18","166.093","2.521.292","2.521.291,74","Financials","US6673401039","NASDAQ","Vereinigte Staaten","USD"
"ARI","APOLLO COMMERCIAL REAL ESTATE FINA","Aktien","0,18","14,32","175.713","2.516.210","2.516.210,16","Financials","US03762U1051","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"TBK","TRIUMPH BANCORP INC","Aktien","0,18","80,23","31.283","2.509.835","2.509.835,09","Financials","US89679E3009","NASDAQ","Vereinigte Staaten","USD"
"AGO","ASSURED GUARANTY LTD","Aktien","0,18","43,80","57.301","2.509.784","2.509.783,80","Financials","BMG0585R1060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ENDP","ENDO INTERNATIONAL PLC","Aktien","0,18","8,38","299.213","2.507.405","2.507.404,94","Gesundheitsversorgung","IE00BJ3V9050","NASDAQ","Vereinigte Staaten","USD"
"HMN","HORACE MANN EDUCATORS CORP","Aktien","0,18","43,00","58.299","2.506.857","2.506.857,00","Financials","US4403271046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CFFN","CAPITOL FEDERAL FINANCIAL INC","Aktien","0,18","14,01","178.925","2.506.739","2.506.739,25","Financials","US14057J1016","NASDAQ","Vereinigte Staaten","USD"
"EGBN","EAGLE BANCORP INC","Aktien","0,18","55,71","44.945","2.503.886","2.503.885,95","Financials","US2689481065","NASDAQ","Vereinigte Staaten","USD"
"AKR","ACADIA REALTY TRUST REIT","Aktien","0,18","20,44","122.483","2.503.553","2.503.552,52","Immobilien","US0042391096","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VSTO","VISTA OUTDOOR INC","Aktien","0,18","33,10","75.624","2.503.154","2.503.154,40","Zyklische Konsumgüter ","US9283771007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GMS","GMS INC","Aktien","0,18","43,54","57.193","2.490.183","2.490.183,22","Industrie","US36251C1036","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WABC","WESTAMERICA BANCORPORATION","Aktien","0,18","65,49","37.977","2.487.114","2.487.113,73","Financials","US9570901036","NASDAQ","Vereinigte Staaten","USD"
"ARCB","ARCBEST CORP","Aktien","0,18","73,63","33.662","2.478.533","2.478.533,06","Industrie","US03937C1053","NASDAQ","Vereinigte Staaten","USD"
"SM","SM ENERGY","Aktien","0,18","17,78","139.325","2.477.199","2.477.198,50","Energie","US78454L1008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GLUU","GLU MOBILE INC","Aktien","0,17","12,47","196.374","2.448.784","2.448.783,78","Kommunikation","US3798901068","NASDAQ","Vereinigte Staaten","USD"
"LTC","LTC PROPERTIES REIT INC","Aktien","0,17","42,70","57.129","2.439.408","2.439.408,30","Immobilien","US5021751020","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CCS","CENTURY COMMUNITIES INC","Aktien","0,17","63,51","38.342","2.435.100","2.435.100,42","Zyklische Konsumgüter ","US1565043007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PMT","PENNYMAC MORTGAGE INVESTMENT TRUST","Aktien","0,17","19,60","123.956","2.429.538","2.429.537,60","Financials","US70931T1034","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CENTA","CENTRAL GARDEN AND PET CLASS A","Aktien","0,17","47,27","51.218","2.421.075","2.421.074,86","Nichtzyklische Konsumgüter","US1535272058","NASDAQ","Vereinigte Staaten","USD"
"VRTS","VIRTUS INVESTMENT PARTNERS INC","Aktien","0,17","260,67","9.287","2.420.842","2.420.842,29","Financials","US92828Q1094","NASDAQ","Vereinigte Staaten","USD"
"GVA","GRANITE CONSTRUCTION INC","Aktien","0,17","39,97","60.535","2.419.584","2.419.583,95","Industrie","US3873281071","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"HSKA","HESKA CORP","Aktien","0,17","190,00","12.715","2.415.850","2.415.850,00","Gesundheitsversorgung","US42805E3062","NASDAQ","Vereinigte Staaten","USD"
"CORE","CORE MARK HOLDING INC","Aktien","0,17","39,68","60.403","2.396.791","2.396.791,04","Zyklische Konsumgüter ","US2186811046","NASDAQ","Vereinigte Staaten","USD"
"MODV","MODIVCARE INC","Aktien","0,17","148,99","16.027","2.387.863","2.387.862,73","Gesundheitsversorgung","US60783X1046","NASDAQ","Vereinigte Staaten","USD"
"KRG","KITE REALTY GROUP TRUST REIT","Aktien","0,17","20,61","115.828","2.387.215","2.387.215,08","Immobilien","US49803T3005","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LNN","LINDSAY CORP","Aktien","0,17","166,49","14.239","2.370.651","2.370.651,11","Industrie","US5355551061","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PFS","PROVIDENT FINANCIAL SERVICES INC","Aktien","0,17","23,49","100.844","2.368.826","2.368.825,56","Financials","US74386T1051","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SYKE","SYKES ENTERPRISES INC","Aktien","0,17","45,26","52.295","2.366.872","2.366.871,70","IT","US8712371033","NASDAQ","Vereinigte Staaten","USD"
"DEA","EASTERLY GOVERNMENT PROPERTIES INC","Aktien","0,17","21,46","109.899","2.358.433","2.358.432,54","Immobilien","US27616P1030","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AMWD","AMERICAN WOODMARK CORP","Aktien","0,17","105,78","22.150","2.343.027","2.343.027,00","Industrie","US0305061097","NASDAQ","Vereinigte Staaten","USD"
"BOOT","BOOT BARN HOLDINGS INC","Aktien","0,17","61,06","38.309","2.339.148","2.339.147,54","Zyklische Konsumgüter ","US0994061002","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CLB","CORE LABORATORIES NV","Aktien","0,17","39,10","59.608","2.330.673","2.330.672,80","Energie","NL0000200384","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PBF","PBF ENERGY INC CLASS A","Aktien","0,17","17,87","129.628","2.316.452","2.316.452,36","Energie","US69318G1067","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AAT","AMERICAN ASSETS TRUST REIT INC","Aktien","0,17","34,71","66.719","2.315.816","2.315.816,49","Immobilien","US0240131047","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PTEN","PATTERSON UTI ENERGY INC","Aktien","0,16","9,42","245.337","2.311.075","2.311.074,54","Energie","US7034811015","NASDAQ","Vereinigte Staaten","USD"
"PLMR","PALOMAR HOLDINGS INC","Aktien","0,16","79,89","28.811","2.301.711","2.301.710,79","Financials","US69753M1053","NASDAQ","Vereinigte Staaten","USD"
"HNI","HNI CORP","Aktien","0,16","41,21","55.741","2.297.087","2.297.086,61","Industrie","US4042511000","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"UIS","UNISYS CORP","Aktien","0,16","27,31","83.821","2.289.152","2.289.151,51","IT","US9092143067","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PRAA","PRA GROUP INC","Aktien","0,16","38,33","59.113","2.265.801","2.265.801,29","Financials","US69354N1063","NASDAQ","Vereinigte Staaten","USD"
"DLX","DELUXE CORP","Aktien","0,16","41,00","54.738","2.244.258","2.244.258,00","Industrie","US2480191012","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PBI","PITNEY BOWES INC","Aktien","0,16","9,32","239.960","2.236.427","2.236.427,20","Industrie","US7244791007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"FARO","FARO TECHNOLOGIES INC","Aktien","0,16","93,86","23.684","2.222.980","2.222.980,24","IT","US3116421021","NASDAQ","Vereinigte Staaten","USD"
"TTEC","TTEC HOLDINGS INC","Aktien","0,16","93,22","23.707","2.209.967","2.209.966,54","IT","US89854H1023","NASDAQ","Vereinigte Staaten","USD"
"MEI","METHODE ELECTRONICS INC","Aktien","0,16","45,11","48.824","2.202.451","2.202.450,64","IT","US5915202007","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CSII","CARDIOVASCULAR SYSTEMS INC","Aktien","0,16","41,96","52.113","2.186.661","2.186.661,48","Gesundheitsversorgung","US1416191062","NASDAQ","Vereinigte Staaten","USD"
"ASTE","ASTEC INDUSTRIES INC","Aktien","0,16","75,00","28.992","2.174.400","2.174.400,00","Industrie","US0462241011","NASDAQ","Vereinigte Staaten","USD"
"PIPR","PIPER SANDLER COMPANIES","Aktien","0,15","121,08","17.858","2.162.247","2.162.246,64","Financials","US7240781002","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"VBTX","VERITEX HOLDINGS INC","Aktien","0,15","31,94","67.598","2.159.080","2.159.080,12","Financials","US9234511080","NASDAQ","Vereinigte Staaten","USD"
"OSIS","OSI SYSTEMS INC","Aktien","0,15","97,33","22.096","2.150.604","2.150.603,68","IT","US6710441055","NASDAQ","Vereinigte Staaten","USD"
"NYMT","NEW YORK MORTGAGE TRUST REIT INC","Aktien","0,15","4,61","465.055","2.143.904","2.143.903,55","Financials","US6496045013","NASDAQ","Vereinigte Staaten","USD"
"CALM","CAL MAINE FOODS INC","Aktien","0,15","42,69","49.884","2.129.548","2.129.547,96","Nichtzyklische Konsumgüter","US1280302027","NASDAQ","Vereinigte Staaten","USD"
"JOE","ST JOE","Aktien","0,15","50,00","42.464","2.123.200","2.123.200,00","Immobilien","US7901481009","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EPAC","ENERPAC TOOL GROUP CORP CLASS A","Aktien","0,15","26,60","79.748","2.121.297","2.121.296,80","Industrie","US2927651040","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MHO","M I HOMES INC","Aktien","0,15","57,03","37.170","2.119.805","2.119.805,10","Zyklische Konsumgüter ","US55305B1017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CSGS","CSG SYSTEMS INTERNATIONAL INC","Aktien","0,15","48,72","43.501","2.119.369","2.119.368,72","IT","US1263491094","NASDAQ","Vereinigte Staaten","USD"
"ILPT","INDUSTRIAL LOGISTICS PROPERTIES TR","Aktien","0,15","22,84","92.694","2.117.594","2.117.594,43","Immobilien","US4562371066","NASDAQ","Vereinigte Staaten","USD"
"AAWW","ATLAS AIR WORLDWIDE HOLDINGS INC","Aktien","0,15","61,66","34.125","2.104.148","2.104.147,50","Industrie","US0491642056","NASDAQ","Vereinigte Staaten","USD"
"CASH","META FINANCIAL GROUP INC","Aktien","0,15","45,98","45.651","2.099.033","2.099.032,98","Financials","US59100U1088","NASDAQ","Vereinigte Staaten","USD"
"SWM","SCHWEITZER MAUDUIT INTERNATIONAL I","Aktien","0,15","49,96","42.006","2.098.620","2.098.619,76","Materialien","US8085411069","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MIK","MICHAELS COMPANIES INC","Aktien","0,15","21,87","95.860","2.096.458","2.096.458,20","Zyklische Konsumgüter ","US59408Q1067","NASDAQ","Vereinigte Staaten","USD"
"PLT","PLANTRONICS INC","Aktien","0,15","41,55","50.385","2.093.497","2.093.496,75","IT","US7274931085","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"WDR","WADDELL AND REED FINANCIAL INC CLA","Aktien","0,15","25,20","82.763","2.085.628","2.085.627,60","Financials","US9300591008","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SKT","TANGER FACTORY OUTLET CENTERS REIT","Aktien","0,15","16,92","123.188","2.084.341","2.084.340,96","Immobilien","US8754651060","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"NWN","NORTHWEST NATURAL HOLDING COMPANY","Aktien","0,15","52,12","39.861","2.077.555","2.077.555,32","Versorger","US66765N1054","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"GBX","GREENBRIER INC","Aktien","0,15","48,88","42.353","2.070.215","2.070.214,64","Industrie","US3936571013","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"PGTI","PGT INNOVATIONS INC","Aktien","0,15","26,64","77.388","2.061.616","2.061.616,32","Industrie","US69336V1017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CPE","CALLON PETROLEUM","Aktien","0,15","39,26","52.420","2.058.009","2.058.009,20","Energie","US13123X5086","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ALG","ALAMO GROUP INC","Aktien","0,15","160,69","12.757","2.049.922","2.049.922,33","Industrie","US0113111076","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"EHTH","EHEALTH INC","Aktien","0,15","60,89","33.587","2.045.112","2.045.112,43","Financials","US28238P1093","NASDAQ","Vereinigte Staaten","USD"
"PRA","PROASSURANCE CORP","Aktien","0,15","27,92","73.021","2.038.746","2.038.746,32","Financials","US74267C1062","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"RAVN","RAVEN INDUSTRIES INC","Aktien","0,15","42,46","48.005","2.038.292","2.038.292,30","Industrie","US7542121089","NASDAQ","Vereinigte Staaten","USD"
"MTRN","MATERION CORP","Aktien","0,15","76,17","26.686","2.032.673","2.032.672,62","Materialien","US5766901012","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"STC","STEWART INFO SERVICES CORP","Aktien","0,14","54,40","36.794","2.001.594","2.001.593,60","Financials","US8603721015","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ADUS","ADDUS HOMECARE CORP","Aktien","0,14","102,36","19.554","2.001.547","2.001.547,44","Gesundheitsversorgung","US0067391062","NASDAQ","Vereinigte Staaten","USD"
"USPH","US PHYSICAL THERAPY INC","Aktien","0,14","119,59","16.720","1.999.545","1.999.544,80","Gesundheitsversorgung","US90337L1089","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"KAMN","KAMAN CORP","Aktien","0,14","54,35","36.782","1.999.102","1.999.101,70","Industrie","US4835481031","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AIR","AAR CORP","Aktien","0,14","44,79","44.547","1.995.260","1.995.260,13","Industrie","US0003611052","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"MDP","MEREDITH CORP","Aktien","0,14","36,25","54.859","1.988.639","1.988.638,75","Kommunikation","US5894331017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"OXM","OXFORD INDUSTRIES INC","Aktien","0,14","89,88","22.030","1.980.056","1.980.056,40","Zyklische Konsumgüter ","US6914973093","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Aktien","0,14","47,28","41.779","1.975.311","1.975.311,12","Financials","BMG5005R1079","NASDAQ","Vereinigte Staaten","USD"
"TNC","TENNANT","Aktien","0,14","80,85","24.356","1.969.183","1.969.182,60","Industrie","US8803451033","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
