Fondsposition per,"11.Mär.2021"
 
Emittententicker,Name,Anlageklasse,Gewichtung (%),Kurs,Nominale,Marktwert,Nominalwert,Sektor,ISIN,Börse,Standort,Marktwährung
"SEM","SELECT MEDICAL HOLDINGS CORP","Aktien","0,35","34,55","141.624","4.893.109","4.893.109,20","Gesundheitsversorgung","US81619Q1058","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DDD","3D SYSTEMS CORP","Aktien","0,35","29,92","163.168","4.881.987","4.881.986,56","IT","US88554D2053","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"BBBY","BED BATH AND BEYOND INC","Aktien","0,35","28,71","169.112","4.855.206","4.855.205,52","Zyklische Konsumgüter ","US0758961009","NASDAQ","Vereinigte Staaten","USD"
"PRLB","PROTO LABS INC","Aktien","0,35","135,60","35.757","4.848.649","4.848.649,20","Industrie","US7437131094","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","Aktien","0,34","94,54","51.062","4.827.401","4.827.401,48","Industrie","US03820C1053","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"LCII","LCI INDUSTRIES","Aktien","0,34","144,73","33.113","4.792.444","4.792.444,49","Zyklische Konsumgüter ","US50189K1034","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"CNMD","CONMED CORP","Aktien","0,34","124,65","38.318","4.776.339","4.776.338,70","Gesundheitsversorgung","US2074101013","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ROG","ROGERS CORP","Aktien","0,34","193,47","24.683","4.775.420","4.775.420,01","IT","US7751331015","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"SFNC","SIMMONS FIRST NATIONAL CORP CLASS","Aktien","0,34","32,71","145.823","4.769.870","4.769.870,33","Financials","US8287302009","NASDAQ","Vereinigte Staaten","USD"
"AMN","AMN HEALTHCARE INC","Aktien","0,34","77,00","61.722","4.752.594","4.752.594,00","Gesundheitsversorgung","US0017441017","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"ABG","ASBURY AUTOMOTIVE GROUP INC.","Aktien","0,34","187,94","25.213","4.738.531","4.738.531,22","Zyklische Konsumgüter ","US0434361046","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"DIOD","DIODES INC","Aktien","0,34","84,80","55.776","4.729.805","4.729.804,80","IT","US2545431015","NASDAQ","Vereinigte Staaten","USD"
"LPSN","LIVEPERSON INC","Aktien","0,33","56,40","83.037","4.683.287","4.683.286,80","IT","US5381461012","NASDAQ","Vereinigte Staaten","USD"
"COLB","COLUMBIA BANKING SYSTEM INC","Aktien","0,33","49,38","94.315","4.657.275","4.657.274,70","Financials","US1972361026","NASDAQ","Vereinigte Staaten","USD"
"HP","HELMERICH & PAYNE INC","Aktien","0,33","32,72","141.197","4.619.966","4.619.965,84","Energie","US4234521015","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
"STMP","STAMPS.COM INC","Aktien","0,33","192,37","23.983","4.613.610","4.613.609,71","Zyklische Konsumgüter ","US8528572006","NASDAQ","Vereinigte Staaten","USD"
"KFY","KORN FERRY","Aktien","0,33","64,08","71.713","4.595.369","4.595.369,04","Industrie","US5006432000","New York Stock Exchange Inc.","Vereinigte Staaten","USD"
